LAB_ID,LATITUDE,LONGITUDE,TYPE,NAME,ATTRIBUTE,GEOL_AGE,STRUCT_SRC,Strat Unit or Age at Total Depth,Series/System,Formation,Member,TOC %,S1 (mg HC/g rock),S2 (mg HC/g rock),S3 (mg CO2/g rock),Tmax (degC),HI ((S2/TOC)*100),OI ((S3/TOC)*100),S2/S3,(S1/TOC)*100,PI (S1/(S1+S2)),S1+S2,Calculated %Ro,Number of %Ro Readings,Total Sample %Ro,Number of Indigenous %Ro Readings,Indigenous %Ro (mean),%Ro Standard Deviation,%Ro Mean Corrected for Suppression,TAI Color,Thermal Alteration Index (TAI),Amorphous Debris %,Finely Disseminated Organic Matter %,Herbaceous Plant Debris %,Woody Plant Debris %,Coaly Fragments %,Algal Debris %,Palynomorphs %,Preservation in Source Material,Recovery from Source Material,Indigenous Vitrinite %,Caved Vitrinite %,Recycled/Oxidized Vitrinite %,Inertinite %,Solid Bitumen %,Amorphous Kerogen %,Kerogen Composition Comments,CAI Min,CAI Max ,CAI Field Number,USGS ID Number,Strat Unit Sampled for Mineralogy,Quartz %,Feldspar %,Carbonate %,Illite/Smectite %,Illite %,Kaolinite %,Chlorite %,Pyrite %,Other Minerals %,Total Clay %,LOI %,,,,,
,41.717108,-80.79821,,,,,,Conasauga Group,Upper Ordovician,,,2.43,3.01,4.45,0.62,439,183,25,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41.566442,-80.80529,,,,,,Queenston Shale,Upper Devonian,Ohio Shale,Huron Member,1.47,0.66,3.34,0.27,436,227,18,12,45,0.17,4,0.69,25,0.54,20,0.53,0.06,,"YO, O","2, 2.3",98,tr,2,,,,tr,good,good,1,tr,1,tr,,98,"palynomorphs, acritarchs? spores, Tasmanites?",,,,OH9100,Huron Member of Ohio Shale,40,2,0,0,34,4,14,4,1,52,2.43,,,,,
,41.83588,-80.83909,,,,,,,Upper Ordovician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,n
,39.42793,-82.07559,,,,,,,Upper Ordovician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,n
,40.000501,-81.085191,,,,,,Ohio Shale,Upper Devonian,Ohio Shale,Huron Member,0.47,0.2,0.49,0.2,439,104,43,2,43,0.29,0.69,0.74,13,0.86,7,0.65,0.05,,"O, OB","2.3, 2.7",94,5,1,,,,tr,good,good,tr,tr,1,tr,,99,"palynomorphs, acritarchs, spores",,,,OH9200,(lower) Huron Member of Ohio Shale,44,3,3,0,25,6,16,2,1,48,0.508,,,,,
,39.979,-80.84449,,,,,,Oriskany Sandstone,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,1.51,1.26,1.13,0.24,449,75,16,5,83,0.53,2.39,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH98,Rhinestreet Shale Member of West Falls Formation,34,3,2,0,37,2,17,4,1,56,1.03,,,,,
,39.979,-80.84449,,,,,,,Upper Devonian,Ohio Shale,Huron Member,0.44,0.16,0.27,0.12,443,61,27,2,36,0.37,0.6,,,,38,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39.979,-80.84449,,,,,,,Upper Devonian,West Falls Formation,Rhinestreet Shale Member,5.97,3.58,3.62,0.22,443,61,4,16,60,0.5,9.55,,,,49,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.6577,-81.10762,,,,,,,Upper Ordovician,,,3.1,2.54,2.9,,473,234,,,,0.5,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.60654,-80.98532,,,,,,,Upper Ordovician,,,3,1.53,1.17,,488,52,,,,0.7,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.66965,-80.94258,,,,,,,Upper Ordovician,,,1.9,0.75,0.57,,483,34,,,,0.6,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.61539,-81.30448,,,,,,,Upper Ordovician,,,0.3,0.08,0.22,,405,81,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.72406,-82.7469,,,,,,,Upper Ordovician,,,1.94,0.84,8,,443,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.864,-82.81701,,,,,,,Upper Ordovician,,,2.07,0.93,8.28,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.78469,-82.86055,,,,,,,Upper Ordovician,,,2.53,2.99,13.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.17854,-83.85688,,,,,,,Upper Ordovician,,,1.82,0.81,4.81,,447,264,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.04449,-83.95523,,,,,,,Upper Ordovician,,,0.6,0.2,1.3,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.09287,-83.61986,,,,,,,Upper Ordovician,,,2.2,1.5,12.4,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38.89636,-83.76593,,,,,,,Upper Ordovician,,,0.29,0.04,0.39,0.45,430,134,155,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
